Study_ID,Data_Family,Omics_Layer,Clinical_Task,SVM_Role,Final_Review_Status,Final_Eligibility_Reason,Validation_Category,Reported_Key_SVM_Performance,Eligibility_Notes
S021,Molecular omics,Metabolomics,Early detection or screening,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=1.00; sensitivity=1.00; specificity=1.00 for 16-metabolite panel under LOOCV,Use in sensitivity analysis excluding perfect-performance studies. Final inclusion confirmed; quantitative eligibility handled separately.
S022,Molecular omics,Transcriptomics,Cancer detection,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,External only,NR,Exclude from SVM-performance synthesis; gene AUCs are not SVM AUCs. Final exclusion confirmed under revised scope.
S023,Molecular omics,Transcriptomics; mRNA and miRNA,Differential diagnosis,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=0.930; sensitivity=0.917; specificity=0.945 for PDAC vs chronic pancreatitis,"Under a strict definition, mRNA and miRNA are both transcriptomic layers; flag multi-omics classification as convention-dependent. Final inclusion confirmed; quantitative eligibility handled separately."
S024,Molecular omics,Transcriptomics,Diagnostic and prognostic,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,External only,NR,"Reclassify input as transcriptomics, not genomics. Final exclusion confirmed under revised scope."
S025,Molecular omics,Proteomics,Early detection or screening,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"Ovarian linear SVM accuracy=0.97, sensitivity=0.99, specificity=0.92; prostate polynomial SVM accuracy=0.82, sensitivity=0.79, specificity=0.87",Use only validation-level performance; do not treat kernel comparisons as external evidence. Final inclusion confirmed; quantitative eligibility handled separately.
S026,Molecular omics,Transcriptomics,Diagnostic and prognostic,Primary final classifier,Exclude,Outcome was HBV-status classification within HCC rather than cancer detection,External only,"TCGA AUC=1.00, accuracy=1.00; HCCDB18 AUC=0.993, accuracy=0.9512, sensitivity=1.00, specificity=0.862",Do not pool with HCC-vs-control diagnostic studies. Final exclusion confirmed under revised scope.
S027,Molecular omics,Lipidomics,Early detection or screening; stage classification,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"Test AUC=0.90, accuracy=0.771, sensitivity=0.75, specificity=1.00 for 16-lipid panel","Reclassify authors’ independent test as internal, not external. Final inclusion confirmed; quantitative eligibility handled separately."
S028,Molecular omics,Transcriptomics,Early detection or screening,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,No validation,TCGA SVM accuracy=1.00; GSE50760 SVM accuracy=0.934; validation level unclear/apparent,External gene/RF results must not be assigned to SVM. Final inclusion confirmed; quantitative eligibility handled separately.
S029,Molecular omics,Metabolomics in final model; transcriptomics used upstream,Early detection or screening,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"SVM test AUC=0.79; approximate accuracy=0.70, sensitivity=0.80, specificity=0.60","Final predictive model is metabolomics-only; label as sequential cross-omics discovery, not integrated multi-omics prediction. Final inclusion confirmed; quantitative eligibility handled separately."
S030,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=0.9375; sensitivity=0.875; specificity=1.00,Use in sensitivity analysis excluding studies with fewer than 20 participants. Final inclusion confirmed; quantitative eligibility handled separately.
S031,Sensor-derived data,Not conventional omics,Cancer detection,One of several final classifiers,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Cluster DTWARP-complete linkage with InfoGain: AUC=0.716; accuracy=0.7487; sensitivity=0.6073; specificity=0.8248,"Sensor-derived electronic-nose study, not molecular omics. Use only in the omics-adjacent subgroup. Final inclusion confirmed; quantitative eligibility handled separately."
S032,Molecular omics,Transcriptomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC=0.875 (95% CI 0.799-0.942); accuracy=0.816; sensitivity=0.800; specificity=0.814 under LOOCV,"The second cohort is not a genuine external SVM validation set. The study is diagnostic, although stage associations were also explored. Final inclusion confirmed; quantitative eligibility handled separately."
S033,Molecular omics,Glycomics,Diagnostic and prognostic,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=0.92 [internal testing set],Analyze prognosis/postoperative component separately. Final inclusion confirmed; quantitative eligibility handled separately.
S034,Molecular omics,Transcriptomics,Cancer detection and cancer subtype classification,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Binary validation: AUC=0.998 and accuracy=0.970 in one split; mean accuracy=0.965 over 1000 repeated 60/40 splits,Use the binary healthy-versus-neoplasm task in the main detection synthesis; report multiclass thyroid subtype results separately. Final inclusion confirmed; quantitative eligibility handled separately.
S035,Molecular omics,Immunomics,Multiple tasks,Component of ensemble or hybrid model,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AdaBoost-SVM apparent performance on 47 diagnostic subjects: AUC=0.992; accuracy=0.915; sensitivity=0.929; specificity=0.895,Include only the early-HCC diagnostic task in the main synthesis. Analyze anti-PD-1 response separately and do not pool it with detection. Final inclusion confirmed; quantitative eligibility handled separately.
S036,Molecular omics,Transcriptomics,Multiple tasks,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Diagnosis: AUC=0.9967; accuracy=0.9846; sensitivity=0.9692; specificity=0.9894; precision=0.9450; F1=0.9529,Use cancer-versus-normal results in the detection synthesis; stage-classification results require a separate subgroup. SVM is not the best model. Final inclusion confirmed; quantitative eligibility handled separately.
S037,Molecular omics,Proteomics,Cancer detection,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,NR,Do not include in quantitative SVM performance synthesis unless full text provides SVM results. Final inclusion confirmed; quantitative eligibility handled separately.
S038,Spectroscopy-derived data,Not conventional omics,Cancer stage classification,One of several final classifiers,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,PLS-SVM accuracy=0.875 [unknown internal testing set],"Spectroscopy-derived subgroup, not conventional omics. Final inclusion confirmed; quantitative eligibility handled separately."
S039,Spectroscopy-derived data,Not conventional omics,Differential diagnosis,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Freeze-dried serum using all spectra: accuracy=0.9155; sensitivity=0.9459; specificity=0.8824; AUC NR,"Spectroscopy-derived, omics-adjacent input. Keep separate from molecular-omics studies. Final inclusion confirmed; quantitative eligibility handled separately."
S040,Molecular omics,Transcriptomics,Cancer detection and early detection or screening,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Held-out test: AUC=0.934 (95% CI 0.927-0.941); accuracy=0.870; sensitivity=0.828; specificity=0.896,The “external validation cohort” is drawn from the combined development/testing data and must not be counted as external validation. Final inclusion confirmed; quantitative eligibility handled separately.
S041,Molecular omics,Glycomics,Differential diagnosis,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Validation SVM-HCC: AUC=0.857 (95% CI 0.769-0.944); accuracy=0.812; sensitivity=0.846; specificity=0.797,"This is single-layer glycomics, not multi-omics. Count the same-setting validation cohort as internal under the review’s strict definition. Final inclusion confirmed; quantitative eligibility handled separately."
S042,Mixed data,Not conventional omics,Early detection or screening,One of several final classifiers,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Unclear,NR,Do not use in quantitative synthesis without full text. Final inclusion confirmed; quantitative eligibility handled separately.
S043,Molecular omics,Transcriptomics,Diagnostic and prognostic,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Held-out same-TCGA test AUC=0.9956; training cross-validation accuracy=0.9685,"The input is transcriptomic, not proteomic. Use only the diagnostic SVM component in the main synthesis; prognosis must be reported separately. Final inclusion confirmed; quantitative eligibility handled separately."
S044,Clinical or laboratory data,Not conventional omics,Differential diagnosis,Primary final classifier,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,Optimized test accuracy=0.9083; sensitivity=0.9667 and specificity=0.8500 calculated from 2 false negatives and 9 false positives among 60 cases and 60 controls,The classifier uses four routine serum markers and is non-omics. The subsequent Wogonin network-pharmacology analysis is unrelated to the SVM input and must not change the data-family classification. Final exclusion confirmed under revised scope.
S045,Molecular omics,Proteomics,Differential diagnosis,One of several final classifiers; also used for feature ranking,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Held-out test: AUC=0.751; accuracy=0.757; sensitivity=0.825; specificity=0.676,The S1 outcome was dominated by MLP. SVM-specific metrics are substantially lower and must be reported separately. Final inclusion confirmed; quantitative eligibility handled separately.
S046,Molecular omics,Transcriptomics,Differential diagnosis,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,External only,Validation: accuracy=0.917; sensitivity=0.927; specificity=0.901; PPV=0.934; NPV=0.890,"Validation is independent at the sample level but from the same institution. Main model uses transcript-expression measurements, not multi-omics. Final inclusion confirmed; quantitative eligibility handled separately."
S047,Clinical or laboratory data,Not conventional omics,Multiple tasks,One of several final classifiers,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,EOC versus benign test: AUC=0.939; accuracy=0.905,"Input is routine clinical/laboratory data, not omics. Detection, stage, histotype, residual-tumor and prognosis tasks must be separated. Final exclusion confirmed under revised scope."
S048,Sensor-derived data,Not conventional omics,Multiple tasks,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Held-out test: accuracy=0.9667; sensitivity=1.000; specificity=0.8333,Electronic-nose data are sensor-derived and should not be labeled omics. Stage-classification performance was poor and must be reported separately. Final inclusion confirmed; quantitative eligibility handled separately.
S049,Clinical or laboratory data,Not conventional omics,Cancer detection,One of several final classifiers,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,AUC=0.865 (95% CI 0.857-0.874); sensitivity=0.901; specificity=0.830; PPV=0.842; NPV=0.894,"This is a conventional laboratory-data model, not an omics study. Final exclusion confirmed under revised scope."
S050,Molecular omics,Transcriptomics,Multiple cancer-classification tasks,One of several final classifiers and hybrid pipelines,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,ReliefF-SVM mean accuracy: ovarian=0.9747; leukemia=0.9806; CNS=0.8072,Report each dataset separately. The best method was ReliefF-CNN rather than SVM. Final inclusion confirmed; quantitative eligibility handled separately.
S051,Molecular omics,Transcriptomics,Cancer detection biomarker screening,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,No validation,"NR; reported AUCs belong to individual genes, not an SVM classifier",Do not enter the reported single-gene AUCs as SVM performance. This paper likely should be excluded from the SVM classifier synthesis. Final exclusion confirmed under revised scope.
S052,Molecular omics,Epigenomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Held-out test: sensitivity=0.98; specificity=0.99; accuracy=0.98; AUC NR. Full-cohort ROC AUC=0.98,The value 0.02 in the testing table appears to be error rather than AUC. Do not enter it as AUC; use the explicit full-cohort AUC=0.98 separately. Final inclusion confirmed; quantitative eligibility handled separately.
S053,Spectroscopy-derived data,Not conventional omics,Multiple tasks,One of several final classifiers,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Cancer detection accuracy=1.00 for gastric versus healthy and colorectal versus healthy; AUC/sensitivity/specificity NR,"This is Raman spectroscopy, not omics. The paper does not provide external validation despite prior classification in S1. Final inclusion confirmed; quantitative eligibility handled separately."
S054,Molecular omics,Transcriptomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,External only,External accuracies: 0.9848; 0.9167; 0.9762; 0.9800; 0.9675; 0.9167 across six datasets,This study provides genuine independent-dataset validation. The six external cohorts should remain separate in quantitative summaries. Final inclusion confirmed; quantitative eligibility handled separately.
S055,Molecular omics,Proteomics,Cancer detection with secondary minimal-residual-disease analysis,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Held-out validation: AUC=0.998 (95% CI 0.994-1.002); sensitivity=0.97; specificity=1.00,"Although the paper calls samples independent, they arose from a random split of the recruited cohort. Additional remission samples are a separate secondary analysis. Final inclusion confirmed; quantitative eligibility handled separately."
S056,Molecular omics,Epigenomics,Diagnostic and prognostic,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,External GSE30601: AUC=0.97; F1=0.93; precision=0.94; specificity=0.86; sensitivity=0.93; accuracy=0.91,"The discovery workflow integrates expression and methylation, but the final SVM input contains only methylation probes; classify the prediction model as single-omics epigenomics, not multi-omics. Analyze prognosis separately. Final inclusion confirmed; quantitative eligibility handled separately."
S057,Molecular omics,Multi-omics,Cancer detection,Primary classifier for each candidate marker/pair,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,"No single prespecified final model; representative miR-148a AUC=0.956 and BA=0.927 in discovery, external BA up to 0.897",mRNA plus miRNA integration may be considered two transcriptomic layers rather than distinct omics; state the operational definition explicitly. Final inclusion confirmed; quantitative eligibility handled separately.
S058,Molecular omics,Transcriptomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Test AUC/accuracy: GSE6099 0.90/0.8907; GSE6956 0.89/0.8588; GSE21034 0.93/0.9271,"Although proteomics initiated discovery, final SVM inputs are gene-expression values; classify the final predictive model as transcriptomics. Final inclusion confirmed; quantitative eligibility handled separately."
S059,Spectroscopy-derived data,Not conventional omics,Cancer detection,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Whole-serum patient test sensitivity=0.875; specificity=1.000,Do not describe this spectroscopy model as molecular omics or as externally validated. Final inclusion confirmed; quantitative eligibility handled separately.
S060,Molecular omics,Transcriptomics,Cancer detection,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,No validation,NR - no SVM classifier performance,All model AUCs must be removed from SVM synthesis or explicitly attributed to logistic regression. Final exclusion confirmed under revised scope.
S061,Molecular omics,Multi-omics,Multiple tasks,Component of ensemble/hybrid model,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,SVM component AUCs: Bincount 0.759; motif 0.815; protein marker 0.700. Hybrid LC score AUC=0.912,Separate early detection from postoperative MRD. Do not attribute the integrated AUC 0.912 solely to SVM. Final inclusion confirmed; quantitative eligibility handled separately.
S062,Molecular omics,Glycomics,Differential diagnosis,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC=0.610; sensitivity=0.9608; specificity=0.2889 in training CV,Correct prior multi-omics label to single-omics glycomics. Report that SVM was substantially inferior to LR/RF. Final inclusion confirmed; quantitative eligibility handled separately.
S063,Molecular omics,Proteomics,Multiple tasks,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Three-class accuracy=0.94; NSCLC versus normal sensitivity=0.99 and specificity=0.95,Fairness discussion should mention that sex-specific analysis does not resolve race/ancestry imbalance and may amplify overfitting. Final inclusion confirmed; quantitative eligibility handled separately.
S064,Molecular omics,Transcriptomics,Early detection or screening,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Cross-validated advanced-neoplasm AUC=0.79 (0.723-0.841),Use AUC 0.79 for semi-quantitative synthesis; apparent AUC 0.92-0.95 should be labeled training/apparent. Final inclusion confirmed; quantitative eligibility handled separately.
S065,Molecular omics,Transcriptomics,Cancer detection,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,Training LOOCV AUC=0.83; validation AUC=0.80,Country in S1 was incorrect; the study was conducted in China. Final inclusion confirmed; quantitative eligibility handled separately.
S066,Clinical or laboratory data,Not conventional omics,Differential diagnosis,Primary final classifier,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,Average test accuracy=0.8667; positive hit ratio=0.9467; negative hit ratio=0.7100,Input comprises five viral markers and does not meet a conventional omics definition. Final exclusion confirmed under revised scope.
S067,Molecular omics,Metabolomics,Cancer detection,Primary classifier and black-box wrapper for OSAF feature selection,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"10-fold sensitivity=0.835, specificity=0.906, MCC=0.743; LOO sensitivity=0.835, specificity=0.859","Despite wording that LOO is nearly unbiased, it is not unbiased if the full feature-selection search is not nested. Final inclusion confirmed; quantitative eligibility handled separately."
S068,Spectroscopy-derived data,Not conventional omics,Multiple tasks,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Blind calibration accuracy: SCC-normal 0.9524; SCC-OLK 0.9318; OLK-normal 0.7391,"Classify as Raman spectroscopy, not proteomics. Use blind calibration rather than training-set metrics in synthesis. Final inclusion confirmed; quantitative eligibility handled separately."
S069,Molecular omics,Transcriptomics,Diagnostic and prognostic,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC=0.983; sensitivity=0.962; specificity=0.955,Diagnostic portion only. Do not treat qRT-PCR as external classifier validation. Final inclusion confirmed; quantitative eligibility handled separately.
S070,Molecular omics,Transcriptomics,Diagnostic and prognostic,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC=0.983; sensitivity=0.971; specificity=0.969,"Use only diagnostic results; external sources validate expression, not the SVM. Final inclusion confirmed; quantitative eligibility handled separately."
S071,Molecular omics,Transcriptomics,Multiple tasks,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,Dataset AUCs 0.80-1.00; median near 0.95 across Table 2,"The authors label four sets prospective validation, but these are existing public datasets. Final inclusion confirmed; quantitative eligibility handled separately."
S072,Spectroscopy-derived data,Not conventional omics,Cancer detection,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Accuracy=0.923-1.00 depending on FTIR range,Spectroscopy-derived subgroup. Final inclusion confirmed; quantitative eligibility handled separately.
S073,Molecular omics,Proteomics,Early detection or screening,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=0.851; sensitivity=0.861; specificity=0.842; PPV=0.838 [LOOCV],Abstract-only but SVM metrics are extractable. Final inclusion confirmed; quantitative eligibility handled separately.
S074,Molecular omics,Transcriptomics,Cancer detection,Primary classifier and SVM-RFE feature selector,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,External accuracy approximately 0.80; exact SVM-specific value NR,Use external performance cautiously; exact SVM-specific result is not tabulated. Final inclusion confirmed; quantitative eligibility handled separately.
S075,Molecular omics,Proteomics,Cancer detection,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Linear SVM All-7 AUC=0.961 (95% CI 0.885-1.000),Requires full-sized prospective validation as authors acknowledge. Final inclusion confirmed; quantitative eligibility handled separately.
S076,Molecular omics,Transcriptomics,Early detection or screening,Comparator model only,Exclude,SVM was only a comparator and did not provide an eligible primary SVM diagnostic model,Internal only,NR,Do not cite RF performance as SVM performance. Final exclusion confirmed under revised scope.
S077,Mixed data,Transcriptomics,Cancer detection,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,"Advanced SVM AUC=0.903, sensitivity=0.900, specificity=0.732, PPV=0.851, NPV=0.811","Mixed transcriptomics plus imaging/clinical data, not multi-omics. Final inclusion confirmed; quantitative eligibility handled separately."
S078,Molecular omics,Genomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Test AUC=0.8796; sensitivity=0.917; specificity=0.889; accuracy=0.900,Early-stage sensitivity of 1.00 is based on only five test cases. Final inclusion confirmed; quantitative eligibility handled separately.
S079,Molecular omics,Transcriptomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Five-gene panel AUC=0.99; sensitivity=0.98; specificity=1.00; MCC=0.95,High performance should be discussed as potentially optimistic. Final inclusion confirmed; quantitative eligibility handled separately.
S080,Spectroscopy-derived data,Not conventional omics,Multiple tasks,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Best oversampling GS-SVM accuracy=0.9545; best undersampling GA-SVM accuracy=1.00,Spectroscopy subgroup; do not pool as molecular omics. Final inclusion confirmed; quantitative eligibility handled separately.
S081,Clinical or laboratory data,Not conventional omics,Cancer detection,Primary final classifier,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,Seven-marker test accuracy=0.8667; sensitivity=0.85; specificity=0.90,Non-omics routine laboratory subgroup. Final exclusion confirmed under revised scope.
S082,Molecular omics,Transcriptomics,Cancer detection,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,No validation,NR - no SVM classifier performance,Do not attribute logistic-regression AUC or individual-gene AUCs to SVM. Final exclusion confirmed under revised scope.
