Study_ID,Participants,Predictors,Outcome,Analysis,Overall_Judgment,Key_Reason,Assessment_Status,Notes
S021,High,Unclear,Low,High,High,"Analysis-domain concern from perfect internal performance, no external validation, and possible preprocessing leakage",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S023,Unclear,Unclear,Low,High,High,Participant-spectrum/applicability concerns and no independent validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S025,High,Unclear,Unclear,High,High,"Analysis-domain concerns from dimensionality, unclear nesting, and internal-only validation",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S027,High,Unclear,Low,High,High,Participant-spectrum and analysis/applicability concerns despite a well-separated internal test,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S028,High,Unclear,Low,High,High,"Analysis-domain concerns from unclear splitting, leakage risk, and unvalidated perfect performance",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S029,High,High,Low,High,High,Analysis-domain concern from likely non-nested biomarker selection and internal-only validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S030,High,High,Low,High,High,Very small sample and serious analysis-domain overfitting concerns,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S031,High,Unclear,Unclear,High,High,Participant-spectrum concerns and high analysis-domain uncertainty from unclear resampling and absent external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S032,High,Unclear,Low,High,High,Small selected cohorts and analysis optimism from pre-LOOCV feature selection and pooled evaluation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S033,High,Unclear,Low,High,High,Small case-control design and internal validation only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S034,High,Unclear,Low,High,High,"High analysis-domain risk from global feature selection, near-perfect internal performance, and absent independent validation",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S035,High,Unclear,Low,High,High,High analysis-domain risk because the primary reported result is apparent all-cohort performance after model development in a tiny sample,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S036,High,Unclear,Unclear,High,High,High analysis-domain risk from feature selection before splitting and reliance on internal TCGA resampling,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S037,Unclear,Unclear,Unclear,High,High,Internal split only and abstract-only methodology,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S038,High,Unclear,Unclear,High,High,Internal validation with unclear split and no external cohort,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S039,High,Unclear,Unclear,High,High,Small case-control sample and possible preprocessing/feature-selection optimism under internal LOOCV,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S040,High,Unclear,Unclear,High,High,Participant selection from pooled public datasets and high analysis-domain concern from non-independent splitting and batch processing,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S041,High,Unclear,Low,High,High,Small selected cohorts and high analysis-domain concern from multiple model/feature searches without independent external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S042,Unclear,Unclear,Unclear,High,Unclear,Abstract-only and no SVM-specific performance,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S043,High,Unclear,Unclear,High,High,High analysis-domain risk from full-cohort feature selection and near-perfect same-dataset performance,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S045,High,Unclear,Low,High,High,"Selected case-control population, internal split only, and model/feature-selection optimism",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S046,High,Unclear,Low,Unclear,High,Case-control surgical sampling and applicability concerns despite a sizeable separate validation set,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S048,High,Unclear,Low,High,High,Small selected case-control cohort and internal validation only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S050,High,Unclear,Unclear,High,High,Small high-dimensional datasets and unclear nesting of dimensionality reduction within splits,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S052,High,Unclear,Low,High,High,"Small case-control sample, unclear feature-selection nesting, and no clearly independent validation cohort",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S053,High,Unclear,Low,High,High,Likely non-independent repeated spectra and perfect internal results without external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S054,High,Unclear,Unclear,High,Unclear,"Strong multi-dataset validation but incomplete reporting of participant selection, SVM settings and complete diagnostic metrics",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S055,High,Unclear,Low,High,High,Random internal split only with near-perfect performance and no site-held-out validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S056,High,Unclear,Unclear,High,High,"Potential resampling optimism, severe imbalance and non-locked external evaluation despite an independent dataset",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S057,High,Unclear,Low,High,High,Case-control design and extensive non-independent marker selection/validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S058,High,Unclear,Unclear,High,High,Public case-control data and internal resampling only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S059,High,Unclear,Low,High,High,Selected case-control cohort and small internal blind test,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S061,Unclear,Unclear,Low,High,High,Validation strength offset by non-locked hybrid construction and unclear calibration,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S062,High,Unclear,Low,High,High,Case-control spectrum and SVM internal-only validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S063,High,Low,Low,High,High,"Commercial case-control sampling, demographic confounding and internal validation only",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S064,High,Unclear,Low,High,High,Extensive model search and preprocessing before internal validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S065,Unclear,Unclear,Low,High,High,Single-center case-control design and non-geographic validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S067,High,High,Unclear,High,High,Case-control sampling and non-independent feature selection/validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S068,Unclear,Unclear,Low,High,High,Unclear patient-level independence and no external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S069,High,Unclear,Low,High,High,Case-control public data with non-independent feature selection and validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S070,High,Unclear,Low,High,High,Case-control design and non-independent model development/evaluation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S071,Unclear,Unclear,Unclear,High,High,Public case-control datasets and no clearly locked cross-dataset transfer model,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S072,High,Unclear,Unclear,High,High,Unclear validation and spectroscopy-derived high-dimensional data,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S073,Unclear,Unclear,Unclear,High,High,Small case-control sample and LOOCV only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S074,High,Unclear,Unclear,High,High,Small samples and unclear external transfer procedure after extensive feature selection,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S075,High,Unclear,Low,High,High,Small selected case-control cohort and internal validation only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S077,High,Unclear,Low,High,High,Single-center selected cohort and internal resampling only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S078,High,Unclear,Low,High,High,Small case-control sample and single internal split,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S079,High,Unclear,Unclear,High,High,Non-nested feature selection and internal test only,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S080,High,Unclear,Low,High,High,Small stage groups and extensive internal model search with perfect performance,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S083,High,Unclear,Low,High,High,Small case-control cohort with non-independent feature selection and internal testing,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S084,High,High,Low,High,High,Selected case-control cohort and non-independent feature/panel selection,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S085,High,Unclear,Low,High,High,Participant selection is case-control despite otherwise strong analysis and external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S086,High,High,Unclear,High,High,Non-independent filtering and validation in a public case-control dataset,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S091,High,Unclear,Low,High,High,Very small selected test set and extensive model search without external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S094,High,Low,Unclear,High,High,Case-control selection and absence of locked external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S096,Unclear,Unclear,Low,High,High,Non-independent spectrum-level validation and incomplete participant reporting,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
